Restaurant Name,Longitude,Latitude
Le Petit Souffle,121.027535,14.565443
Izakaya Kikufuji,121.014101,14.553708
Heat - Edsa Shangri-La,121.056831,14.581404
Ooma,121.056475,14.585318
Sambo Kojin,121.057508,14.58445
Din Tai Fung,121.056314,14.583764
Buffet 101,120.9796667,14.53133333
Vikings,120.9793333,14.54
Spiral - Sofitel Philippine Plaza Manila,120.98009,14.55299
Locavore,121.056532,14.572041
Silantro Fil-Mex,121.057916,14.567689
Mad Mark's Creamery & Good Eats,121.06082,14.570849
Silantro Fil-Mex,121.075419,14.649503
Guevarra's,121.0335917,14.59345
Sodam Korean Restaurant,121.03811,14.59889
Cafe Arabelle,121.05704,14.237082
Nonna's Pasta & Pizzeria,121.0565874,14.23767897
Balay Dako,120.951589,14.101834
Hobing Korean Dessert Cafe,121.045878,14.55436
Wildflour Cafe + Bakery,121.04622,14.549337
NIU by Vikings,121.053725,14.545858
The Food Hall by Todd English,121.0534998,14.54565535
Chez Michou,-47.88178889,-15.76414167
Caf�� Daniel Briand,-47.88266667,-15.7775
Casa do Biscoito Mineiro,-47.88213611,-15.75747222
Maori,-47.88816667,-15.75883333
Pizza �� Bessa,-47.91566667,-15.83116667
Sushi Loko,-47.91566667,-15.831
Beirute,-47.9075,-15.82
New Koto,-47.91016667,-15.82733333
Sandubas Caf��,-47.89016667,-15.797
Villa Tevere,-47.92366667,-15.83133333
Rovereto,-48.019,-15.83716667
Buena Carne,-48.01909167,-15.839775
Taco Pep,-48.01666667,-15.83483333
Coco Bambu,-47.889,-15.7865
Tayp��,-47.872359,-15.860621
Outback Steakhouse,-47.95628333,-15.83451389
Manzu��,-47.87283333,-15.82566667
Coco Bambu,-47.8685,-15.819
Gero,-47.885812,-15.720118
Brazilian American Burgers,-47.92102778,-15.79753056
Pesqueiro Eco Gourmet,-43.377,-23.0115
Confeitaria Colombo,-43.178826,-22.905293
Bibi,-43.18669167,-22.97207222
Cervantes,-43.17583333,-22.96216667
Amir,-43.176,-22.96516667
TT Burger,-43.191,-22.98683333
Braseiro da G��vea,-43.227042,-22.973507
Balada Mix,-43.211425,-22.98520833
Garota de Ipanema,-43.203,-22.98533333
Zaz�� Bistr�� Tropical,-43.20520833,-22.98531944
Fil�� de Ouro,-43.219563,-22.966647
D.O.C Ristorante,-43.34879167,-22.99991111
Sushi Leblon,-43.227,-22.98416667
Talho Capixaba,-43.22566667,-22.98516667
Leme Light,-43.17279167,-22.963925
Shirley,-43.17126389,-22.96337222
Quiosque Chopp Brahma,-43.341164,-22.870413
Apraz�_vel,-43.18736944,-22.92481389
Aconchego Carioca,-43.21551111,-22.91370833
Garota de Ipanema,-43.16266667,-22.94783333
Cantina Famiglia Mancini,-46.64516667,-23.55066667
Templo da Carne - Marcos Bassi,-46.64633333,-23.559
Gopala Hari,-46.65866667,-23.55616667
Jiquitaia,-46.657523,-23.55671
Skye - Hotel Unique,-46.666851,-23.581688
Les 3 Brasseurs,-46.67511,-23.582135
Red Steak & Burger,-46.683888,-23.585324
Cantinho da Gula,-46.67566667,-23.581
Paris 6 Classique,-46.666041,-23.561568
Kawa Sushi,-46.657418,-23.571638
A Figueira Rubaiyat,-46.66983333,-23.5655
Kinoshita,-46.67133333,-23.59233333
Meats,-46.68133333,-23.56483333
Paribar,-46.64159444,-23.54664167
Terra�_o It��lia,-46.643425,-23.545163
Divino Fog��o,-46.63716667,-23.5995
Super Grill,-46.698574,-23.622925
Esquina Mocot�_,-46.581672,-23.486535
Veloso,-46.63566667,-23.58516667
Sainte Marie Gastronomia,-46.746958,-23.609207
Austin's BBQ and Oyster Bar,-84.221535,31.610387
BJ's Country Buffet,-84.207095,31.608743
Cookie Shoppe,-84.154,31.5772
El Vaquero Mexican Restaurant,-84.2194,31.6158
Elements Coffee Co - Northwest,-84.206944,31.622412
Pearly's Famous Country Cookng,-84.1759,31.5882
Chick-fil-A,-84.2193,31.616
Guang Zhou Chinese Restaurant,-84.2091458,31.6155186
Harvest Moon,-84.205718,31.604905
Henry Campbell's Steakhouse,-84.223278,31.612121
Hong Kong Cafe,-84.2191,31.6156
House of China Restaurant II,-84.212,31.6104
Jimmie's Hot Dogs,-84.1534,31.5751
Locos Grill & Pub,-84.2228,31.6077
Longhorn Steakhouse,-84.2229,31.6185
Mikata Japanese Steakhouse,-84.2164,31.6137
Shogun Japanese Steak House,-84.2233,31.6118
The Catch Seafood Room & Oyster Bar,-84.205025,31.605882
Villa Gargano,-84.1757,31.5985
3 Squares Diner,-83.8389,31.5308
Whitebull Hotel,151.6688792,-30.5147169
Last Resort Grill,-83.378273,33.957999
Mama's Boy Restaurant,-83.3654,33.9535
Sr. Sol 1,-83.4293,33.9652
Choo Choo Eastside,-83.3389,33.9259
The Grill,-83.375523,33.958198
Big City Bread Cafe,-83.384004,33.959392
Clocked,-83.3797,33.9584
DePalma's Italian Cafe - Downtown,-83.373596,33.958112
DePalma's Italian Cafe - East Side,-83.33995,33.924275
Five & Ten,-83.3872482,33.9415545
Grit,-83.381625,33.960112
Ike & Jane,-83.400887,33.963296
La Dolce Vita Ristorante,-83.4075,33.9584
